Instrument: Cary 60 UV-Vis
Operator: T. Churchill
Date: 2026-06-30

Wavelength (nm)	Abs
220.0	0.0527
221.0	0.0600
222.0	0.0791
223.0	0.0870
224.0	0.0957
225.0	0.1219
226.0	0.1510
227.0	0.1695
228.0	0.1779
229.0	0.2001
230.0	0.2374
231.0	0.2781
232.0	0.2920
233.0	0.3540
234.0	0.3883
235.0	0.4415
236.0	0.4950
237.0	0.5524
238.0	0.6181
239.0	0.6860
240.0	0.7387
241.0	0.8207
242.0	0.8695
243.0	0.9505
244.0	1.0281
245.0	1.0927
246.0	1.1570
247.0	1.2272
248.0	1.3025
249.0	1.3778
250.0	1.4312
251.0	1.5014
252.0	1.5598
253.0	1.6197
254.0	1.6638
255.0	1.7063
256.0	1.7306
257.0	1.7631
258.0	1.7919
259.0	1.8109
260.0	1.7874
261.0	1.8111
262.0	1.7975
263.0	1.7722
264.0	1.7398
265.0	1.6996
266.0	1.6762
267.0	1.6339
268.0	1.5794
269.0	1.5166
270.0	1.4449
271.0	1.3635
272.0	1.3070
273.0	1.2430
274.0	1.1515
275.0	1.0957
276.0	1.0234
277.0	0.9540
278.0	0.8643
279.0	0.8004
280.0	0.7356
281.0	0.6639
282.0	0.6314
283.0	0.5506
284.0	0.5038
285.0	0.4462
286.0	0.4166
287.0	0.3694
288.0	0.3216
289.0	0.2557
290.0	0.2441
291.0	0.2196
292.0	0.1950
293.0	0.1539
294.0	0.1561
295.0	0.1051
296.0	0.0944
297.0	0.0953
298.0	0.0732
299.0	0.0813
300.0	0.0533
301.0	0.0366
302.0	0.0319
303.0	0.0187
304.0	0.0116
305.0	0.0263
306.0	0.0222
307.0	0.0262
308.0	0.0032
309.0	0.0256
310.0	0.0041
311.0	0.0213
312.0	0.0001
313.0	-0.0038
314.0	0.0053
315.0	0.0125
316.0	0.0033
317.0	-0.0045
318.0	-0.0124
319.0	-0.0132
320.0	0.0057
321.0	0.0104
322.0	-0.0012
323.0	-0.0104
324.0	0.0090
325.0	-0.0126
326.0	-0.0069
327.0	0.0064
328.0	-0.0223
329.0	0.0041
330.0	-0.0056
331.0	0.0013
332.0	-0.0005
333.0	0.0023
334.0	0.0073
335.0	-0.0072
336.0	0.0147
337.0	0.0078
338.0	0.0090
339.0	0.0123
340.0	0.0086
341.0	0.0093
342.0	0.0017
343.0	-0.0132
344.0	-0.0002
345.0	-0.0064
346.0	-0.0128
347.0	0.0042
348.0	-0.0038
349.0	-0.0082
350.0	-0.0081
351.0	0.0053
352.0	0.0065
353.0	0.0164
354.0	0.0034
355.0	0.0144
356.0	0.0185
357.0	0.0164
358.0	-0.0182
359.0	0.0183
360.0	0.0101
361.0	0.0116
362.0	0.0118
363.0	0.0128
364.0	0.0130
365.0	0.0072
366.0	-0.0071
367.0	0.0120
368.0	0.0063
369.0	0.0265
370.0	0.0143
371.0	0.0196
372.0	0.0119
373.0	0.0172
374.0	0.0241
375.0	0.0115
376.0	0.0316
377.0	0.0300
378.0	0.0218
379.0	0.0125
380.0	0.0446
381.0	0.0396
382.0	0.0407
383.0	0.0472
384.0	0.0715
385.0	0.0569
386.0	0.0625
387.0	0.0513
388.0	0.0874
389.0	0.0851
390.0	0.0919
391.0	0.0872
392.0	0.1017
393.0	0.1024
394.0	0.1112
395.0	0.1102
396.0	0.1040
397.0	0.1363
398.0	0.1142
399.0	0.1390
400.0	0.1476
401.0	0.1476
402.0	0.1730
403.0	0.1739
404.0	0.1808
405.0	0.2000
406.0	0.1999
407.0	0.2287
408.0	0.2287
409.0	0.2311
410.0	0.2272
411.0	0.2447
412.0	0.2799
413.0	0.2799
414.0	0.2892
415.0	0.3202
416.0	0.3028
417.0	0.3218
418.0	0.3350
419.0	0.3577
420.0	0.3573
421.0	0.3699
422.0	0.3721
423.0	0.4075
424.0	0.4202
425.0	0.4192
426.0	0.4373
427.0	0.4343
428.0	0.4538
